timestamp,tick_index,open,high,low,close,volume,macd_fast,macd_slow,macd_diff,signal,hist,ema10,ema20,ema50,ema100,ema200,ema10_vs_20,ema20_vs_50,rsi_extreme,pine_bar_color,pine_bg_color,jerk_raw,acc_smooth,velocity,norm_jerk,pos_norm_20,tr_5d_avg,tr_20d_avg,tr_ratio_5d_20d,tr_ratio_20d_60d,readable_time
1691884800000,49,29430.18,29474.65,29272.32,29303.84,11101.7095,-130.4268,-130.4268,-130.4268,-181.7885,51.3618,29388.5719,29455.6061,29765.7516,30028.9656,30219.0006,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,43.3058,363.0640,497.9345,0.4063,0,2023-08-13 00:00:00
1691971200000,50,29303.85,29695.32,29102.45,29430.93,31443.1153,-117.7403,-117.7403,-117.7403,-168.9789,51.2386,29396.2734,29453.2560,29752.6214,30017.1233,30211.1591,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,50.9697,324.9720,511.1605,1.1599,0,2023-08-14 00:00:00
1692057600000,51,29430.92,29499.26,29059.60,29200.00,27503.8769,-124.8807,-124.8807,-124.8807,-160.1593,35.2785,29360.5873,29429.1364,29730.9500,30000.9426,30201.0978,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,37.0440,329.3440,503.4905,0.8732,0,2023-08-15 00:00:00
1692144000000,52,29200.01,29259.85,28723.08,28730.51,32996.6985,-166.5042,-166.5042,-166.5042,-161.4282,-5.0759,29246.0278,29362.6005,29691.7170,29975.7855,30186.4651,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,8.7324,374.2840,506.1470,1.0605,0,2023-08-16 00:00:00
1692230400000,53,28730.51,28783.48,25166.00,26623.41,100271.5403,-365.3054,-365.3054,-365.3054,-202.2037,-163.1017,28769.1882,29101.7252,29571.3913,29909.4019,30151.0118,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,28.7005,1077.8220,666.0660,5.4311,0,2023-08-17 00:00:00
1692316800000,54,26623.41,26832.60,25619.00,26054.00,69790.6571,-562.3213,-562.3213,-562.3213,-274.2272,-288.0941,28275.5176,28811.4657,29433.4543,29833.0573,30110.2455,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,17.4872,1280.0760,719.2090,1.6874,0,2023-08-18 00:00:00
1692403200000,55,26054.00,26281.00,25801.09,26100.01,26160.7534,-706.6000,-706.6000,-706.6000,-360.7017,-345.8982,27879.9708,28553.2318,29302.7310,29759.1356,30070.3427,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,18.3933,1257.4840,722.4165,0.6643,0,2023-08-19 00:00:00
1692489600000,56,26100.01,26299.00,25971.05,26189.99,19056.9121,-804.4085,-804.4085,-804.4085,-449.4431,-354.9654,27572.7015,28328.1612,29180.6628,29688.4594,30031.7322,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,20.1652,1235.1420,717.4040,0.4571,0,2023-08-20 00:00:00
1692576000000,57,26190.00,26258.42,25812.00,26126.92,30267.2423,-876.9033,-876.9033,-876.9033,-534.9351,-341.9682,27309.8322,28118.5191,29060.9081,29617.9339,29992.8784,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,18.9232,1217.0720,682.0475,0.6545,0,2023-08-21 00:00:00
1692662400000,58,26126.92,26139.42,25300.00,26056.00,34247.0669,-929.3654,-929.3654,-929.3654,-613.8212,-315.5442,27081.8627,27922.0888,28943.0686,29547.4005,29953.7055,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,17.5266,661.46,668.0185,1.2566,0,2023-08-22 00:00:00
1692748800000,59,26055.99,26819.27,25812.82,26432.72,44023.6998,-929.8255,-929.8255,-929.8255,-677.0221,-252.8034,26963.8367,27780.2441,28844.6236,29485.7237,29918.6708,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,24.9453,620.03,695.0745,1.4480,0,2023-08-23 00:00:00
1692835200000,60,26432.71,26577.87,25864.00,26180.05,30205.2212,-939.7456,-939.7456,-939.7456,-729.5668,-210.1788,26821.3301,27627.8447,28740.1305,29420.2648,29881.4706,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,19.9695,666.8220,704.4910,1.0133,0,2023-08-24 00:00:00
